"*ID（ID列は編集不可・新規で利用者登録の場合は空欄）","*ログインID","パスワード（半角8文字以上で、アルファベットと数字を混在）","*部署コード（既存部署の部署コードを入力。部署コード入力時は部署名空欄可。部署コード、部署名ともに入力時は部署コード入力値を利用者に設定します。","*部署名（部署コード空欄時は入力必須。存在しない部署名入力時は部署情報の登録も行います。）","*システム利用権限 （システム管理者 現場責任者 一般　のいずれかを入力）","勤務地 （東京 横浜 大阪 埼玉 東京開発センター 名古屋 Aゾーン　a店 Aゾーン　b店 Aゾーン　c店 Aゾーン　d店 本社 ddd@test.com 北海道 東京都千代田区 東京都港区 東京都町田市 神奈川県横浜市青葉区　のいずれかを入力）","職制 （次長 課長 主任 一般 係長 新人 部長 役員 その他 マネージャー ゾーン管理者 SD PL PM シニアマネージャー 副部長　から空白区切りで複数入力可）","肩書き","上司（上司となる利用者のログインIDを空白区切りで複数入力可）","*氏","名","氏カナ","名カナ","生年月日（yyyy/mm/dd）","性別(0:男性　1:女性　いずれかを入力)","*メールアドレス","電話番号１","電話番号２","FAX番号","郵便番号","都道府県","住所１","住所２（建物より後）","採用年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","卒業年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","備考","利用者コード","退職フラグ（退職フラグ者として登録する場合1を入力）","ログイン中止（Leafへのログインを中止する場合1を入力）","削除（Leafから削除する場合1を入力）","適用開始日（yyyy/mm/dd）","予備１ （講師登壇可能（管理職向け） 講師登壇可能（中堅層向け） 講師登壇可能（若手層向け） 講師登壇可能（新人向け） 講師登壇不可　のいずれかを入力）","予備２ （正社員（総合職） 正社員（技術職） 契約社員（総合職） 契約社員（技術職） 地域限定社員　のいずれかを入力）","予備３","予備４","メールアドレス２","パスワード強制変更（次回ログイン時に強制変更させる場合1を入力）"
"id","login_id","password","division_cd","division_id","role_id","location_id","office_organization_id","post","manager_user_id","lastname","firstname","lastname_kana","firstname_kana","birthday","sex","mail_address","tel1","tel2","fax","zip_code","prefecture","address1","address2","initiation_year_month","graduation_year_month","memo","member_cd","retired_flg","login_stoped","del_flg","date_from","first_reserve_id","second_reserve_id","third_reserve","fouth_reserve","mail_address2","password_change_flg"
"81","o30","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","課長","課長","o27","渡辺","樹","オオサカ","サンジュウロウ","1978/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-30","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"82","o31","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","課長","課長","o28","吉田","樹","オオサカ","サンジュウイチロウ","1978/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-31","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"83","o32","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","課長","課長","o28","佐々木","誠","オオサカ","サンジュウニロウ","1978/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-32","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"84","o33","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","係長","係長","o27","田中","悠斗","オオサカ","サンジュウサンロウ","1982/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-33","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"85","o34","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","係長","係長","o27","山田","美月","オオサカ","サンジュウシロウ","1982/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-34","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"86","o35","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","係長","係長","o28","小池","芽依","オオサカ","サンジュウゴロウ","1982/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-35","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"87","o36","","b0302","大阪支社 営業部","一般","大阪","係長","係長","o28","田中","陽葵","オオサカ","サンジュウロクロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-36","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"88","o37","","b0302","大阪支社 営業部","一般","大阪","主任","主任","o27","松本","さくら","オオサカ","サンジュウナナコ","1987/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-37","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"89","o38","","b0302","大阪支社 営業部","一般","大阪","主任","主任","o27","山本","陽葵","オオサカ","サンジュウハチロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-38","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"90","o39","","b0302","大阪支社 営業部","一般","大阪","主任","主任","o28","吉田","怜","オオサカ","サンジュウクロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-39","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"91","o40","","b0302","大阪支社 営業部","一般","大阪","主任","主任","o28","吉田","悠斗","オオサカ","ヨンジュウロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-40","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"92","o41","","b0301","大阪支社 総務部","一般","大阪","一般","","o27","渡辺","颯真","オオサカ","ヨンジュウイチロウ","1990/01/01","0","aaa@test.com","","","","","","","","2001/01/01","2001/01/01","","osaka-41","","","","2015/09/28","","正社員（総合職）","","",""
"93","o42","","b0301","大阪支社 総務部","一般","大阪","一般","","o27","松本","悠斗","オオサカ","ヨンジュウニロウ","1990/01/01","0","bbb@test.com","","","","","","","","2001/01/01","2001/01/01","","osaka-42","","","","2015/09/28","","正社員（総合職）","","",""
"94","o43","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o27","飯田","悠斗","オオサカ","ヨンジュウサンロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-43","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"95","o44","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o27","鈴木","芽依","オオサカ","ヨンジュウシロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-44","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"96","o45","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o27","佐々木","結愛","オオサカ","ヨンジュウゴロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-45","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"97","o46","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o28","佐々木","美月","オオサカ","ヨンジュウロクロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-46","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"98","o47","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o28","山口","芽依","オオサカ","ヨンジュウナナコ","1990/01/01","1","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-47","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"99","o48","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o28","山本","琉生","オオサカ","ヨンジュウハチロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-48","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"100","o49","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o28","山本","花","オオサカ","ヨンジュウクロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-49","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"101","o50","","it-service-analysis","ITサービス事業部 データ分析課","一般","東京都町田市","一般","","o28","関口","樹","オオサカ","ゴジュウロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-50","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"102","t100","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","部長","部長","t01","飯田","咲良","トウキョウ","ヒャクタロウ","1972/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-100","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"103","t101","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","部長","部長","t01","吉田","結愛","トウキョウ","ヒャクイチタロウ","1970/01/01","0","admin@leaf.com","","","","","","","","","","","tokyo-101","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"104","t102","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","","","t101","山本","蓮","トウキョウ","ヒャクニコ","1990/01/01","1","admin@leaf.com","","","","","","","","","","","tokyo-102","","","","2015/09/28","","","","",""
"105","t103","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","","","t101","山口","凛","トウキョウ","ヒャクサンコ","1990/01/01","1","admin@leaf.com","","","","","","","","","","","tokyo-103","","","","2015/09/28","","","","",""
"106","t104","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","","","t05","田中","怜","トウキョウ","ヒャクヨンタロウ","1990/01/01","0","admin@leaf.com","","","","","","","","","","","tokyo-104","","","","2015/09/28","","","","",""
"107","t105","","it-service-development","ITサービス事業部 アプリケーション開発課","一般","神奈川県横浜市青葉区","","","t08","根岸","悠斗","トウキョウ","ヒャクゴロウ","1990/01/01","0","admin@leaf.com","","","","","","","","","","","tokyo-105","","","","2015/09/28","","","","",""
"108","sadmin","","it-service-development","ITサービス事業部 アプリケーション開発課","現場責任者","神奈川県横浜市青葉区","主任","埼玉支社研修管理者","","山田","花","サイタマ","カンリシャ","","0","admin@leaf.com","","","","","","","","","","","","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"109","s01","","it-service-development","ITサービス事業部 アプリケーション開発課","現場責任者","神奈川県横浜市青葉区","部長 役員","部長","","伊藤","誠","トウキョウ","イチロウ","1967/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","saitama-01","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"110","s02","","","埼玉支社 総務部","一般","埼玉","次長","次長","s01","高橋","凛","トウキョウ","ジロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-02","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"111","s03","","","埼玉支社 総務部","一般","埼玉","課長","課長","s01","関口","陽翔","トウキョウ","サブロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-03","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"112","s04","","","埼玉支社 総務部","一般","埼玉","係長","係長","s01","佐藤","芽依","トウキョウ","シロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-04","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"113","s05","","","埼玉支社 総務部","一般","埼玉","主任","主任","s04","佐藤","蓮","トウキョウ","ゴロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-05","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"114","s06","","","埼玉支社 総務部","一般","埼玉","一般","","s04","小池","大翔","トウキョウ","ロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-06","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"115","s07","","","埼玉支社 総務部","一般","埼玉","一般","","s04","飯山","陽翔","トウキョウ","ナナコ","1990/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-07","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"116","s08","","","埼玉支社 総務部","一般","埼玉","一般","","s04","渡辺","健斗","トウキョウ","ハチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-08","","","","2015/09/28","","正社員（総合職）","","",""
"117","s09","","","埼玉支社 営業部","一般","埼玉","役員 部長","部長","","小林","花","トウキョウ","キュウロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-09","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"118","s10","","","埼玉支社 営業部","一般","埼玉","次長","次長","s09","山口","花","トウキョウ","ジッコ","1972/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-10","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"119","s11","","","埼玉支社 営業部","一般","埼玉","課長","課長","s09","吉田","大翔","トウキョウ","ジュウイチロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-11","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"120","s12","","","埼玉支社 営業部","一般","埼玉","係長","係長","s09","田中","芽依","トウキョウ","ジュウニロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-12","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"121","s13","","","埼玉支社 営業部","一般","埼玉","主任","主任","s12","伊藤","蓮","トウキョウ","ジュウサンロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-13","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"122","s14","","","埼玉支社 営業部","一般","埼玉","一般","","s13","関口","悠斗","トウキョウ","ジュウヨンロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-14","1","","","2015/09/28","","正社員（総合職）","","",""
"123","s15","","","埼玉支社 営業部","一般","埼玉","一般","","s13","小林","さくら","トウキョウ","ジュウゴロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-15","","","","2015/09/28","","正社員（総合職）","","",""
"124","s16","","","埼玉支社 営業部","一般","埼玉","一般","","s13","飯山","颯真","トウキョウ","ジュウロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-16","","","","2015/09/28","","正社員（総合職）","","",""
"125","tadmin","","b02","東京本社","現場責任者","東京","主任","東京研修管理者","","鈴木","陽葵","","","","","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"126","t200","","","東京本社 システム本部 流通システム部 グループ２","一般","東京開発センター","課長","課長","t05","山本","咲良","トウキョウ","ニヒャクタロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-200","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"127","t201","","","東京本社 システム本部 流通システム部 グループ１","一般","東京開発センター","一般","","t18","飯田","陽葵","トウキョウ","ニヒャクイチコ","1994/05/02","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-201","","","","2015/09/28","","正社員（技術職）","","",""
"128","t202","","","東京本社 システム本部 流通システム部 グループ２","一般","東京開発センター","その他","","","飯山","美月","トウキョウ","ニヒャクニタロウ","1994/05/10","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-202","","","","2015/09/28","","正社員（技術職）","","",""
"134","t999","","","東京本社 システム本部 流通システム部 グループ１","一般","","","","","吉田","悠真","","","","0","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","","","","",""
"135","t1000","","","東京本社 システム本部 流通システム部 グループ２","一般","","一般","","","小林","誠","","","","","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"180","z12","","","埼玉支社 営業部","一般","埼玉","係長","係長","","飯山","咲良","トウキョウ","ジュウニロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-12","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"181","z13","","","埼玉支社 営業部","一般","埼玉","主任","主任","","高橋","芽依","トウキョウ","ジュウサンロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-13","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"186","yadmin","","","横浜支社","現場責任者","横浜","主任","横浜支社研修管理者","","佐々木","樹","ヨコハマ","カンリシャ","","0","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"187","y01","","","横浜支社","一般","横浜","役員 部長","部長","","中村","美月","ヨコハマ","イチロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-01","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"188","y03","","","横浜支社 総務部","一般","横浜","課長","課長","","高橋","大翔","ヨコハマ","サブロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-03","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"189","y04","","","横浜支社 総務部","一般","横浜","係長","係長","","鈴木","誠","ヨコハマ","シロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-04","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"190","y05","","","横浜支社 総務部","一般","横浜","主任","主任","","佐藤","花","ヨコハマ","ゴロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-05","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"191","y06","","","横浜支社 総務部","一般","横浜","一般","","","吉田","咲良","ヨコハマ","ロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-06","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"192","y07","","","横浜支社 総務部","一般","横浜","一般","","","伊藤","怜","ヨコハマ","ナナコ","1990/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-07","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"193","y08","","","横浜支社 総務部","一般","横浜","一般","","","小池","結愛","ヨコハマ","ハチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-08","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"194","y09","","","横浜支社 営業部","一般","横浜","役員 部長","部長","","小池","大和","ヨコハマ","キュウロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-09","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"195","y10","","","横浜支社 営業部","一般","横浜","次長","次長","","根岸","結愛","ヨコハマ","ジッコ","1972/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-10","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"196","y11","","","横浜支社 営業部","一般","横浜","課長","課長","","田中","陽葵","ヨコハマ","ジュウイチロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-11","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"197","y12","","","横浜支社 営業部","一般","横浜","係長","係長","","根岸","蓮","ヨコハマ","ジュウニロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-12","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"198","y13","","","横浜支社 営業部","一般","横浜","主任","主任","","渡辺","さくら","ヨコハマ","ジュウサンロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-13","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"199","y15","","","横浜支社 営業部","一般","横浜","一般","","","渡辺","琉生","ヨコハマ","ジュウゴロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-15","","1","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"200","y16","","","横浜支社 営業部","一般","横浜","一般","","","田中","陽翔","ヨコハマ","ジュウロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-16","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"201","y17","","","横浜支社 営業部","一般","横浜","一般","","","鈴木","悠真","ヨコハマ","ジュウヨンロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","saitama-14","1","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"202","t110","","b0101","東京本社 総務部","一般","東京","一般","","","山本","颯真","","","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","","正社員（総合職）","","",""
"203","t111","","b0101","東京本社 総務部","一般","東京","一般","","","吉田","蓮","","","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2015/09/28","","正社員（総合職）","","",""
"280","t2015","","b0103","東京本社 システム本部","一般","東京","課長","","","鈴木","琉生","","","","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
